Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
BECN2	1	241957767	241959062
MAP1LC3C	1	241995490	241999073
DOCK10	2	224765090	225042445
ATP5MC3	2	175176258	175184607
PLD5	1	242082986	242524696
FCRL5	1	157513377	157552515
RGS10	10	119499817	119542719
GMEB2	20	63587602	63627101
FAM71A	1	212624474	212626778
BOK	2	241551424	241574131
TRHDE	12	72087266	72670757
PTPN6	12	6946468	6961316
TPH2	12	71938845	72186618
FCRL4	1	157573747	157598085
CDK2AP1	12	123250112	123272334
THAP4	2	241584405	241637158
LNPK	2	175923882	176002839
C12orf65	12	123232916	123257959
ATG4B	2	241637213	241673857
MPHOSPH9	12	123152320	123244014
EVX2	2	176077472	176083913
HOXD13	2	176092721	176095944
HOXD12	2	176099730	176101193
NEK1	4	169392857	169612629
HOXD10	2	176108790	176119942
HOXD11	2	176104216	176109754
BATF3	1	212686417	212699840
NYAP2	2	225399710	225654018
NSL1	1	212726153	212791782
HOXD8	2	176129694	176132695
HOXD9	2	176122719	176124937
IRS1	2	226731317	226799759
HOXD3	2	176136612	176173102
RHBDD1	2	226835581	226999215
HOXD1	2	176188668	176190907
HOXD4	2	176151550	176153226
FCRL3	1	157674321	157700769
COL4A4	2	227002711	227164453
CEP170	1	243124428	243255348
TATDN3	1	212791828	212816830
ATXN7L3B	12	74537827	74545430
KCNC2	12	75040077	75209868
FCRL2	1	157745733	157777132
DNAJB8	3	128462439	128467248
CAPS2	12	75275979	75390928
UTP18	17	51260546	51297936
GLIPR1L1	12	75334639	75370560
SDCCAG8	1	243256034	243500091
GATA2	3	128479427	128493185
RIN3	14	92513781	92688994
AKT3	1	243488233	243851079
IL10RA	11	117986348	118003037
COL4A3	2	227164565	227314792
SLC39A2	14	20999255	21001871
BMP10	2	68860909	68871397
ZBTB18	1	244048939	244057476
MFF	2	227325151	227357836
METTL17	14	20989770	20997035
TIAL1	10	119571802	119597029
C1orf100	1	244352635	244389663
ADSS	1	244408494	244451909
DTYMK	2	241675747	241686944
STMN3	20	63639705	63657682
CATSPERE	1	244454377	244641177
GKN2	2	68945232	68952893
ING5	2	241687085	241729478
SBNO1	12	123289109	123364847
DESI2	1	244653103	244709033
TMPRSS4	11	118077012	118121890
SPATA45	1	212830141	212847649
KMT5A	12	123383773	123409353
EPC1	10	32267751	32378798
RILPL2	12	123410683	123436717
FLVCR1	1	212858275	212899363
SNRNP35	12	123457641	123473154
COL23A1	5	178237618	178590393
RILPL1	12	123470054	123533719
SMIM35	11	118003634	118088299
GKN1	2	68974573	68980974
HNRNPU	1	244840638	244864560
VASH2	1	212950520	212992037
RFC2	7	74231499	74254458
TMED2	12	123584533	123598582
ANGEL2	1	212992182	213015867
TM4SF20	2	227362156	227381995
CDK16	X	47217860	47229997
KIF1B	1	10210805	10381603
EIF2B1	12	123620406	123633766
COX20	1	244835616	244845057
DDX55	12	123602077	123620943
BAG3	10	119651370	119677819
D2HGDH	2	241734602	241768816
GTF2H3	12	123633739	123662604
EMG1	12	6970913	6997428
SCYGR1	2	227387683	227387949
PHB2	12	6965327	6970825
RPN1	3	128619969	128681075
AGFG1	2	227472152	227561214
LPCAT3	12	6976185	7018477
INCENP	11	62123998	62153169
C1S	12	6988259	7071032
RPS6KC1	1	213051233	213274774
CA10	17	51630313	52160017
LGMN	14	92703807	92748679
PROX1	1	213983181	214041502
CLK4	5	178602664	178630615
SCYGR2	2	227598893	227599255
C2orf83	2	227610090	227648606
CLCN3	4	169612633	169723673
SCYGR3	2	227614538	227614840
SCYGR4	2	227616998	227618655
SCYGR5	2	227666804	227667061
SLC19A3	2	227683763	227718028
SMYD2	1	214281102	214337131
PSG9	19	43211791	43269530
SCYGR6	2	227724440	227724757
SCYGR7	2	227728335	227728625
SCYGR8	2	227745845	227746681
ANTXR1	2	69013178	69249327
HLA-DMA	CHR_HSCHR6_MHC_SSTO_CTG1	33039313	33061428
BRD2	CHR_HSCHR6_MHC_SSTO_CTG1	33059372	33122227
HLA-DMB	CHR_HSCHR6_MHC_SSTO_CTG1	33025327	33043825
INPP5F	10	119726042	119829278
SCGB1D1	11	62190216	62193539
RAB7A	3	128726122	128814796
VPS28	8	144423601	144428563
CLIP2	7	74289475	74405943
C16orf92	16	30023334	30027736
FAM57B	16	30024427	30052978
SCGB1D2	11	62242239	62244812
SCGB2A1	11	62208673	62213943
ZNF354A	5	178711512	178730659
KIF2B	17	53822901	53825213
CHPT1	12	101696947	101744140
SCGB2A2	11	62270158	62273160
SYCP3	12	101728648	101739472
SCGB1D4	11	62296277	62299064
SERPINC1	1	173903804	173917378
ASRGL1	11	62337448	62393412
GNPTAB	12	101745499	101830959
CD177	19	43353686	43363172
TNFRSF6B	20	63696652	63698684
RC3H1	1	173931214	174022297
ARFRP1	20	63698642	63708025
PGD	1	10398592	10420511
DRAM1	12	101877580	102012130
RTEL1-TNFRSF6B	20	63659300	63698684
LIME1	20	63736283	63739103
ZBTB46	20	63743666	63832038
SLC2A4RG	20	63739776	63744050
ZGPAT	20	63707465	63736142
RABGAP1L	1	174159410	174995308
CCDC7	10	32446140	32882874
RTEL1	20	63657810	63696253
GPR52	1	174448111	174449198
TONSL	8	144428775	144444440
TEX101	19	43401496	43418597
ZNF354B	5	178859953	178888122
HPF1	4	169729470	169757944
CFLAR	2	201116154	201176687
SCGB1A1	11	62405103	62423195
TACSTD2	1	58575423	58577773
USP11	X	47232690	47248328
CORT	1	10449719	10451902
CENPS	1	10430433	10442808
CENPS-CORT	1	10430102	10452153
MYSM1	1	58654740	58700080
MFAP3L	4	169986597	170033031
KIAA1257	3	128909866	129002690
GOLGA5	14	92794305	92839947
EFCC1	3	129001629	129040742
ACAD9	3	128879596	128916067
GTF2IRD1	7	74453790	74602604
ZFP2	5	178895898	178933212
WASHC3	12	102012927	102062149
LYPD3	19	43460787	43465608
MCMBP	10	119829404	119892556
AHNAK	11	62433542	62556235
SCN4B	11	118133377	118152888
NUP37	12	102073103	102120120
CYHR1	8	144449582	144465677
ZNF454	5	178941191	178966433
PMCH	12	102196459	102197833
PARPBP	12	102120185	102197520
ALDOA	16	30064164	30070457
PEX14	1	10472288	10630758
IGF1	12	102395874	102481744
DFFA	1	10456522	10472529
GRM6	5	178977587	178996206
PHLDB3	19	43474954	43504935
TUT1	11	62575045	62592177
EEF1G	11	62559596	62574086
GFPT1	2	69319769	69387254
PHOX2B	4	41744082	41748970
HLA-DOA	CHR_HSCHR6_MHC_SSTO_CTG1	33144838	33150271
JUN	1	58780788	58784327
ZNF879	5	179023752	179035064
ZNF157	X	47370583	47414305
ZNF575	19	43525497	43536130
CHGA	14	92923150	92935285
ETHE1	19	43506719	43527230
ZNF354C	5	179060415	179083537
SCN2B	11	118161951	118176673
SEC23IP	10	119892730	119944657
FOXH1	8	144473412	144476335
KIFC2	8	144466043	144474202
ZNF41	X	47445879	47482946
AADAT	4	170060222	170091699
HLA-DPB1	CHR_HSCHR6_MHC_SSTO_CTG1	33216374	33227649
HLA-DPA1	CHR_HSCHR6_MHC_SSTO_CTG1	33205017	33221223
ARAF	X	47561100	47571920
TIMP1	X	47582408	47586789
SYN1	X	47571901	47619857
CFP	X	47623172	47630305
PLPP4	10	120456954	120589855
NFU1	2	69395750	69437628
TOM1L1	17	54899387	54961956
ITPK1	14	92936914	93116320
COX11	17	54951902	54968785
WDR11	10	120851305	120909524
STXBP4	17	54968727	55173632
JAML	11	118193740	118225094
ITGB1	10	32900318	33005792
CASZ1	1	10636604	10796650
MOAP1	14	93182199	93184923
ADAMTS2	5	179110853	179345461
TMEM251	14	93184951	93187089
UBR7	14	93207241	93229215
GP9	3	129060767	129062406
GON7	14	93202894	93207065
GALNTL6	4	171812254	173041559
MTA2	11	62593214	62601865
TMEM33	4	41935129	41960803
AAK1	2	69457997	69674349
ANXA4	2	69644425	69827112
IRGQ	19	43584369	43596135
PINLYP	19	43575801	43583964
XRCC1	19	43543040	43580473
MPZL3	11	118226690	118252365
FGGY	1	59296638	59810647
ISY1-RAB43	3	129087575	129161036
ISY1	3	129127415	129161293
RAB43	3	129087569	129122801
C1orf127	1	10946471	10982037
GALNT7	4	173168811	173323967
GPT	8	144502973	144507174
MPZL2	11	118253416	118264536
PPP1R16A	8	144477969	144502121
BTBD7	14	93237550	93333092
ELK1	X	47635521	47650604
DCAF4L1	4	41981756	41986465
CD3E	11	118304545	118316175
SLC30A9	4	41990502	42090461
UXT	X	47651796	47659180
HMGB2	4	173331695	173335125
SRRM5	19	43596617	43614497
ZNF428	19	43607224	43619629
PPP4C	16	30075978	30085376
ZNF576	19	43596392	43601157
COL11A2	CHR_HSCHR6_MHC_SSTO_CTG1	33302792	33329578
GTF2I	7	74650231	74760692
RUFY1	5	179550554	179610012
NRP1	10	33177492	33336262
EML3	11	62602218	62612765
ROM1	11	62611722	62615120
SAP30	4	173369969	173377532
HOOK1	1	59814786	59876370
BEND4	4	42110853	42152878
CADM4	19	43622368	43639850
SCRG1	4	173384701	173406380
CNBP	3	129169484	129183922
CD3D	11	118338954	118342744
RBP5	12	7115736	7128889
RPS18	CHR_HSCHR6_MHC_SSTO_CTG1	33412156	33415676
C1R	12	7080209	7092607
VPS52	CHR_HSCHR6_MHC_SSTO_CTG1	33390441	33412193
C1RL	12	7089587	7109238
SHISA3	4	42397488	42402487
HLF	17	55264960	55325187
MFSD3	8	144509070	144511213
PLAUR	19	43646095	43670547
HAND2	4	173524969	173530229
ZNF630	X	47983356	48071658
TARDBP	1	11012344	11026420
SPACA5	X	48004336	48009729
ZNF81	X	47836902	48002561
ZNF182	X	47974851	48003978
TBX6	16	30085793	30091887
CD3G	11	118344344	118355161
CYP2J2	1	59893308	59926773
COX8C	14	93347191	93348356
UNC79	14	93333219	93707876
MASP2	1	11026523	11047233
MMD	17	55392622	55421924
YPEL3	16	30092314	30096915
COPG1	3	129249606	129277773
GMCL1	2	69829660	69881384
SMIM36	17	55448433	55511444
ATP8A1	4	42408373	42657105
B3GAT3	11	62615296	62622154
TMEM100	17	55719627	55732121
IRGC	19	43716076	43720021
RECQL4	8	144511288	144517845
TTC36	11	118527472	118531197
ATP5MG	11	118401606	118431496
IFT46	11	118544528	118572970
PCTP	17	55750979	55842830
UBE4A	11	118359585	118399211
KIFC1	CHR_HSCHR6_MHC_SSTO_CTG1	33531696	33550087
ARCN1	11	118572390	118603033
KMT2A	11	118436464	118526832
TMEM25	11	118531041	118547280
C1orf87	1	59987269	60073770
GDPD3	16	30104810	30113537
SPACA5B	X	48130657	48132613
ABHD16B	20	63861498	63862988
NFIA	1	60865259	61462788
SSX5	X	48186220	48196763
SSX1	X	48255317	48267444
MXD1	2	69897688	69942945
SNRNP27	2	69893956	69905575
PRIMA1	14	93718298	93788485
FGFR2	10	121478334	121598458
FAM181A	14	93918894	93929608
NLRP7	CHR_HSCHR19LRC_LRC_S_CTG3_1	54931214	54955210
OSCAR	CHR_HSCHR19LRC_LRC_S_CTG3_1	54094681	54102740
RDH13	CHR_HSCHR19LRC_PGF1_CTG3_1	54972739	54991632
FAN1	CHR_HSCHR15_4_CTG8	31055318	31094547
TNK2	3	195863365	195909009
OSCAR	CHR_HSCHR19LRC_PGF1_CTG3_1	54094681	54102740
VSTM1	CHR_HSCHR19LRC_PGF2_CTG3_1	54040833	54063953
TSEN34	CHR_HSCHR19LRC_LRC_S_CTG3_1	54190866	54195141
ABO	CHR_HG2030_PATCH	133255323	133275362
TFPT	CHR_HSCHR19LRC_PGF1_CTG3_1	54107066	54115801
NLRP7	CHR_HSCHR19LRC_PGF2_CTG3_1	54661303	54685299
VSTM1	CHR_HSCHR19LRC_PGF1_CTG3_1	54040833	54063953
TARM1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54069947	54081380
NLRP7	CHR_HSCHR19LRC_LRC_T_CTG3_1	54867507	54891503
SURF2	CHR_HG2030_PATCH	133356698	133361306
TJP1	CHR_HSCHR15_4_CTG8	29850002	29972346
DOHH	19	3490822	3500940
RDH13	CHR_HSCHR19LRC_COX1_CTG3_1	54973355	54992248
TSEN34	CHR_HSCHR19LRC_LRC_T_CTG3_1	54190866	54195141
RDH13	CHR_HSCHR19LRC_LRC_I_CTG3_1	55049943	55068836
RDH13	CHR_HSCHR19LRC_LRC_S_CTG3_1	55052029	55070922
RDH13	CHR_HSCHR19LRC_LRC_J_CTG3_1	55077480	55096373
ARHGAP11B	CHR_HSCHR15_4_CTG8	30776860	30837039
MAFIP	GL000194.1	53594	115055
TFPT	CHR_HSCHR19LRC_COX2_CTG3_1	54107066	54115801
OSCAR	CHR_HSCHR19LRC_LRC_J_CTG3_1	54094681	54102740
TSEN34	CHR_HSCHR19LRC_PGF2_CTG3_1	54190866	54195141
OSCAR	CHR_HSCHR19LRC_COX1_CTG3_1	54094681	54102740
TFPT	CHR_HSCHR19LRC_PGF2_CTG3_1	54107066	54115801
TSEN34	CHR_HSCHR19LRC_COX2_CTG3_1	54190866	54195141
TARM1	CHR_HSCHR19LRC_LRC_S_CTG3_1	54069947	54081380
DCTN5	16	23641466	23677472
LEMD3	12	65169583	65248355
CBLL2	X	22272943	22274461
CAPN2	1	223701593	223776018
C11orf1	11	111878935	111885975
WIF1	12	65050626	65121305
FDXACB1	11	111874056	111881243
LRRC4B	19	50516892	50568435
REM1	20	31475288	31484895
PKD1L1	7	47740202	47948491
LRRFIP1	2	237627587	237813682
ST3GAL2	16	70375977	70439237
BLZF1	1	169367970	169396540
FRMD1	6	168053166	168101511
IRF5	7	128937457	128950038
DCAF8	1	160215715	160262531
NUB1	7	151341699	151378449
ZNF25	10	37949573	37976647
KBTBD3	11	106051098	106077459
AASDHPPT	11	106075501	106098699
ZNF16	8	144930358	144950888
ALG3	3	184242301	184249548
TBC1D30	12	64780516	64881032
DPT	1	168695468	168729206
XCL1	1	168576605	168582069
XCL2	1	168540768	168543997
PRICKLE4	6	41780762	41787372
TOMM6	6	41787662	41789898
PALB2	16	23603160	23641310
UBE3C	7	157138916	157269370
ERICH6	3	150659885	150703971
ALPP	2	232378724	232382889
OBSCN	1	228208130	228378874
NCAPH	2	96335766	96377091
SLC9A1	1	27098809	27166981
USP49	6	41789896	41895361
DEFB123	20	31440632	31450257
UXS1	2	106093303	106194339
CST5	20	23875934	23879748
MNX1	7	156994051	157010663
ERICH2	2	170783786	170798971
AGPAT4	6	161129967	161274061
TAF1B	2	9843443	9934416
PTPRZ1	7	121873089	122062036
STX16	20	58651253	58679526
CCDC185	1	223393417	223395470
LINC01556	CHR_HSCHR6_MHC_QBL_CTG1	28943865	28944525
STX16-NPEPL1	20	58651434	58715410
NOM1	7	156949712	156973176
IFNGR1	6	137197484	137219449
SP5	2	170715351	170718078
PGC	6	41736711	41754109
CEPT1	1	111139627	111185104
TBX19	1	168280877	168314426
GRIN2C	17	74842023	74861504
WHAMM	15	82809628	82836108
HPRT1	X	134460165	134520513
KIAA0825	5	94152966	94618597
NINJ1	9	93121496	93134251
PTGDR	14	52267713	52276724
SLCO4C1	5	102233986	102296284
CD160	1	145719471	145739288
PRLH	2	237566574	237567175
ASB7	15	100602534	100651705
POMGNT1	1	46188682	46220305
XPR1	1	180632004	180890251
EIF2D	1	206571292	206612465
LURAP1	1	46203334	46221256
ETV7	6	36354091	36387800
CASQ1	1	160190575	160201886
DEFB121	20	31404845	31412838
TMEM263	12	106955719	106978778
CFAP70	10	73253759	73358859
MTERF2	12	106977277	106987160
ZAR1	4	48490252	48494389
SLC10A4	4	48483343	48489526
CDC42EP5	19	54465026	54473296
CDK17	12	96278261	96400480
LHX4	1	180230264	180278984
PHF6	X	134373253	134428791
ASB10	7	151175698	151187832
DDX39B	CHR_HSCHR6_MHC_MANN_CTG1	31569699	31586038
GBX1	7	151148589	151174745
ACBD6	1	180269653	180502954
DEFB119	20	31377164	31390590
PRRC2B	9	131373636	131500197
LLGL2	17	75525080	75575208
TMCC1	3	129647792	129893606
ZNF136	19	12163064	12189871
CST2	20	23823769	23826729
C6orf222	6	36315761	36336888
TENT5B	1	27005020	27012850
RBM17	10	6089034	6117457
IKBKE	1	206470476	206496889
CST1	20	23747553	23751268
TMEM158	3	45224466	45226278
DEFB115	20	31257664	31259632
KDF1	1	26949562	26960468
SLC36A2	5	151314972	151347590
ZNF740	12	53180704	53195142
C2orf66	2	196805002	196810276
ATP1A2	1	160115759	160143591
CD9	12	6199715	6238271
ENDOV	17	80415165	80438086
DTD2	14	31446036	31457506
NUCKS1	1	205712822	205750182
SPANXA1	X	141583674	141585011
COL6A3	2	237324003	237414375
ANP32D	12	48472665	48473624
SPANXA2	X	141589708	141590762
C1orf115	1	220690363	220699153
MYO3B	2	170178145	170655171
BTG2	1	203305491	203309602
CPT1C	19	49690898	49713731
CLEC12A	12	9951316	9995694
NPHS2	1	179550539	179575952
SLC45A3	1	205657851	205680509
ADM5	19	49688664	49690575
NCBP2L	X	107774899	107795829
GRIA4	11	105609994	105982092
TTYH1	19	54415219	54436900
SCN1A	2	165984641	166149214
MAP3K5	6	136557046	136792477
TXNL4B	16	72044289	72094431
COPS6	7	100088969	100092187
CLDND1	3	98497912	98523066
PDHA2	4	95840019	95841474
NAP1L4	11	2944431	2992377
OR5K2	3	98497604	98498663
FZD8	10	35638249	35642278
TSC22D3	X	107713221	107777342
IQSEC2	X	53225828	53321350
ZNF217	20	53567065	53609907
EMX1	2	72916260	72936071
SLC23A3	2	219161465	219170095
CPOX	3	98579446	98593723
TSPYL6	2	54253178	54256229
SPR	2	72887382	72892158
ERCC3	2	127257290	127294176
ABRAXAS1	4	83459517	83523348
CHIT1	1	203212827	203273641
AXDND1	1	179365720	179554735
POU2F1	1	167220876	167427345
CLEC2A	12	9898673	9932381
C12orf66	12	64186316	64222296
MARK1	1	220528183	220664461
SPDYE2	7	102551232	102562308
NHEJ1	2	219075317	219160865
ASH1L	1	155335268	155562807
MICA	CHR_HSCHR6_MHC_MANN_CTG1	31442784	31459233
MRPS18C	4	83455932	83469735
POLR2J3	7	102562133	102572583
GNAT3	7	80458671	80512020
DHX38	16	72093613	72112912
CFAP36	2	55519604	55545879
TSPAN12	7	120787320	120858402
PNKD	2	218270392	218346793
HPR	16	72063148	72077246
KIR2DS5	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54782617	54797414
KIR2DL5B	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54771198	54780682
KIR2DL2	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54754673	54769220
KCND2	7	120273175	120750337
IHH	2	219054424	219060921
PRMT1	19	49675786	49689029
STK17B	2	196133583	196176503
KIR2DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54814388	54828892
ITFG1	16	47154387	47464149
BRSK2	11	1389899	1462689
MDFI	6	41636882	41654246
ELK4	1	205597556	205631962
RAP2C	X	132203024	132219480
POLR2J3	7	102537918	102572653
SYCE3	22	50551112	50562919
CEACAM20	19	44501677	44529788
KIR2DL4	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54848094	54859121
KLHDC7B	22	50546203	50551023
GJD4	10	35605410	35608935
THEMIS2	1	27872543	27886685
PSME4	2	53864069	53970993
USP44	12	95516560	95551476
KRTAP5-5	CHR_HSCHR11_1_CTG6	1635485	1636417
KRTAP5-4	CHR_HSCHR11_1_CTG6	1626668	1627848
SNRNP200	2	96274338	96321271
FASTK	7	151076593	151080866
KRTAP5-3	CHR_HSCHR11_1_CTG6	1613275	1614173
MFSD4A	1	205568885	205602918
KIR3DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54861074	54875379
ACYP2	2	53970838	54305300
NR2F1	5	93583222	93594611
AK9	6	109492856	109691217
TP53I13	17	29566052	29573157
FPGS	9	127794597	127814327
OR5K1	3	98463201	98472924
LMBR1	7	156668946	156893230
CRISP2	6	49692358	49713590
RAB44	6	36697826	36733184
TYR	11	89177875	89295759
RIMBP3	22	18605815	18611919
SLC35F2	11	107790991	107928293
C9orf131	9	35041095	35045986
LY6G6F	CHR_HSCHR6_MHC_MCF_CTG1	31783165	31786875
SERGEF	11	17788048	18013047
LY6G5B	CHR_HSCHR6_MHC_QBL_CTG1	31659349	31663777
GAS1	9	86944362	86947506
LY6G6E	CHR_HSCHR6_MHC_MCF_CTG1	31788620	31790096
OXSR1	3	38165089	38255484
HMGXB4	22	35257452	35295807
TECRL	4	64275257	64409468
RPL39L	3	187120948	187180908
C5orf38	5	2752131	2755397
RHBDF1	16	58059	76355
PNRC1	6	89080751	89085160
GPANK1	CHR_HSCHR6_MHC_QBL_CTG1	31651454	31656514
DHX16	CHR_HSCHR6_MHC_COX_CTG1	30642952	30662900
FKBP3	14	45115599	45135319
PROP1	CHR_HSCHR5_3_CTG5	177992545	177996421
MPND	19	4343527	4360086
LY86	6	6588108	6654983
HLA-DQA2	CHR_HSCHR6_MHC_APD_CTG1	32781927	32787758
ZNF311	CHR_HSCHR6_MHC_DBB_CTG1	28994795	29005326
PCDHA13	5	140882124	141012347
RTP1	3	187197486	187201465
HIPK3	11	33256672	33357023
MED17	11	93784227	93814963
MED1	17	39404285	39451272
JMJD6	17	76712832	76726799
SBF2	11	9778667	10294207
SLC6A13	12	220621	262873
SACM1L	3	45689056	45745409
NOA1	4	56963350	56977606
FOLR2	11	72216601	72221950
TPGS1	19	507497	519654
ACTL8	1	17755333	17827063
EIF2S3	X	24054946	24078810
MADCAM1	19	489176	505343
PLEKHF1	19	29665459	29675477
KIR3DL2	CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	54850300	54867064
LAIR1	CHR_HSCHR19_4_CTG3_1	54359738	54378912
MTMR14	3	9649433	9702393
DHX8	17	43483865	43610338
TTC25	17	41930617	41966503
OXA1L	14	22766522	22773041
ZCCHC3	20	296968	300321
PCDHA6	5	140827958	141012347
YME1L1	10	27110112	27155266
ERCC6	10	49454470	49539538
ALDH7A1	5	126531200	126595362
NRSN2	20	346782	359660
CACNG3	16	24255553	24362801
MAP2K4	17	12020829	12143830
CLVS1	8	61057158	61501645
RPS6KA5	14	90847861	91060641
HAS1	19	51713112	51723994
RAB39A	11	107928448	107963482
C6orf136	CHR_HSCHR6_MHC_COX_CTG1	30636880	30642942
PPP1R2	3	195514428	195543386
FRAT1	10	97319267	97321915
RAI1	17	17681458	17811453
PCDHA9	5	140847463	141012344
ABHD16A	CHR_HSCHR6_MHC_DBB_CTG1	31669120	31685587
NF1	17	31094927	31382116
PCDHA3	5	140801028	141012347
RTN4RL1	17	1934677	2025334
CLN5	13	76990660	77019143
EBLN2	3	73061659	73063337
PPP4R2	3	72996785	73069199
ZFX	X	24149173	24216255
ASPH	8	61500556	61714640
PCDHA1	5	140786136	141012347
PRM2	16	11275639	11276480
AOAH	7	36512949	36724549
FBXL20	17	39252663	39402523
LENG9	CHR_HSCHR19LRC_COX1_CTG3_1	54393938	54395858
LENG8	CHR_HSCHR19LRC_COX1_CTG3_1	54380864	54394163
TNP2	16	11267748	11269533
TIGD3	11	65354751	65357613
ZNF525	19	53365693	53392217
ADAMTS10	19	8580240	8610735
ZNF236	18	76822607	76970727
TNFSF9	19	6531026	6535924
GXYLT2	3	72888073	72998138
PRM3	16	11273218	11273641
MMP23B	1	1632095	1635263
PRM1	16	11280841	11281330
SOX12	20	325595	330224
RRAGA	9	19049395	19050983
SOCS1	16	11254405	11256200
HERC2	CHR_HSCHR15_1_CTG8	28320122	28322152
POLD2	7	44114681	44124358
SLC25A45	11	65375192	65383701
SMIM24	19	3473986	3480542
ZNF765	19	53389793	53430413
OPA3	19	45527427	45602212
PAX9	14	36657568	36679715
NAPG	18	10525905	10552764
PCDHAC1	5	140926369	141012344
IGSF21	1	18107798	18378483
LSM10	1	36391238	36397908
GPR4	19	45589764	45602212
RYK	3	134065303	134250744
ETV4	17	43527844	43579620
FAAP100	17	81539885	81553961
INSL4	9	5231419	5235304
SFTA3	14	36473288	36513829
PREP	6	105273220	105454062
CLDN5	22	19523024	19527545
MYCBP2	13	77044657	77327094
REEP6	19	1491166	1497927
RMI2	16	11249619	11381662
PCDHA7	5	140834248	141012347
PCDHA11	5	140868183	141012344
EEF1D	CHR_HSCHR8_3_CTG7	143579697	143597744
LIMD1	3	45555394	45686341
DGLUCY	14	91060333	91225632
MRPS36	CHR_HSCHR5_2_CTG1_1	69217760	69230127
TENM2	5	167284799	168264157
SLC25A21	14	36678431	37172866
PMS2	7	5970925	6009106
CPLANE2	1	16231692	16237183
MFSD2A	1	39955112	39969968
VEGFB	11	64234538	64238793
RLN2	9	5299864	5304716
JMJD8	16	681670	684528
MCUR1	6	13786557	13814568
RTN4	2	54972187	55112621
CDC42EP5	CHR_HSCHR19LRC_COX1_CTG3_1	54397172	54405337
FBXO42	1	16246840	16352480
CDC34	19	531760	542092
GADL1	3	30726200	30894765
GGT5	22	24219654	24245142
NFKB1	4	102501331	102617302
NKX2-1	14	36516392	36521149
PCDHA4	5	140806929	141012347
SCN4A	17	63938554	63972918
GPS2	17	7311324	7315564
ZFP36L1	14	68787660	68796253
KRTAP9-2	CHR_HSCHR17_6_CTG4	41226627	41227631
PCDHA5	5	140821604	141012347
C4orf48	4	2041993	2043970
C11orf54	11	93741591	93764749
PCDHA8	5	140841187	141012347
CPNE5	6	36740775	36839444
NKX2-8	14	36580579	36582607
FMN1	15	32765545	33194733
AMOTL2	3	134355874	134375479
PCDHAC2	5	140966470	141012347
TIMM10	11	57528464	57530803
SRSF12	6	89095959	89118071
HTR6	1	19664875	19680966
COL5A3	19	9959561	10010504
NPRL3	16	84271	138860
CD72	9	35609533	35646810
IFT88	13	20567069	20691437
FDFT1	8	11795573	11839304
SOX8	16	981770	986979
NCOA7	6	125781161	125932034
CPA6	8	67422038	67746385
MPIG6B	CHR_HSCHR6_MHC_MCF_CTG1	31794876	31802992
PKHD1L1	8	109362461	109537207
FAM49A	2	16549459	16666331
SSTR5	16	1078781	1080142
PTGES3L	17	42968088	42980433
TMEM53	1	44635238	44674481
TMCO4	1	19682213	19799945
ERICH5	8	98064522	98093610
RLN1	9	5334930	5339876
